rank,gk_sp_id,player_name,season_id,season_name,grade,matches,saves,goals,save_pct
1093,828230621,잔루이지 돈나룸마,828,BLD (Best Legends),8,10190,25063,26006,0.4908
1094,214190053,페터 슈마이켈,214,TC (Tournament Champions),13,289,769,798,0.4907
1095,231024630,페페 레이나,231,VTR (Veteran),9,229,525,545,0.4907
1096,216162835,사미르 한다노비치,216,HOT (Heroes Of the Team),10,358,836,868,0.4906
1097,265228413,에밀 아우데로,265,LOL (LEGEND OF THE LOAN),9,287,703,730,0.4906
1098,217210257,에데르송,217,COC (Competitor Of Continents),12,343,831,863,0.4906
1099,206200389,얀 오블라크,206,TB (Tournament Best),12,354,952,989,0.4905
1100,270233267,매트 터너,270,SPL (Spotlight),8,2046,5148,5350,0.4904
1101,518252658,백종범,518,26KLeague (26KLeague),11,201,457,475,0.4903
1102,268051539,에드윈 반데르사르,268,LN (LEGENDARY NUMBERS),9,3313,8217,8541,0.4903
1103,518252659,김동헌,518,26KLeague (26KLeague),8,277,703,731,0.4902
1104,254048940,페트르 체흐,254,CFA (Chelsea FC Ambassador),8,647,1621,1686,0.4902
1105,284200696,H. 베르휠스트,284,RTN (Returnees),11,991,2377,2473,0.4901
1106,246173373,세르히오 로메로,246,UP (Unsung Players),11,289,716,745,0.4901
1107,517230872,밀레 스빌라르,517,25 PL (25 Premium Live),9,902,2169,2258,0.4899
1108,256168435,살바토레 시리구,256,BTB (Back to Back),8,1933,4787,4984,0.4899
1109,253192119,티보 쿠르투아,253,BOE21 (Best of Europe 21),10,547,1359,1415,0.4899
1110,237193105,알퐁스 아레올라,237,MC (Multi-League Champions),8,1029,2474,2576,0.4899
1111,202019580,이운재,202,TKI (Team Korea Icon),13,476,1103,1149,0.4898
1112,270233934,에런 램즈데일,270,SPL (Spotlight),8,9390,22896,23855,0.4897
1113,265215502,B. 드롱고프스키,265,LOL (LEGEND OF THE LOAN),11,361,852,888,0.4897
1114,237199987,야스퍼르 실러선,237,MC (Multi-League Champions),9,1012,2502,2608,0.4896
1115,280235073,그레고르 코벨,280,22 UCL (22 UEFA Champions League),8,2037,5053,5268,0.4896
1116,810234577,디오구 코스타,810,23 UCL (23 UEFA Champions League),9,342,883,921,0.4895
1117,214024630,페페 레이나,214,TC (Tournament Champions),8,4146,10123,10559,0.4895
1118,206163587,카스퍼 슈마이켈,206,TB (Tournament Best),13,516,1230,1283,0.4895
1119,207190053,페터 슈마이켈,207,TT (Top Transfer),13,929,2285,2384,0.4894
1120,517215698,마이크 메냥,517,25 PL (25 Premium Live),9,219,595,621,0.4893
1121,283186153,보이치에흐 슈체스니,283,HG (Home Grown),9,3903,9825,10256,0.4893
1122,270193105,알퐁스 아레올라,270,SPL (Spotlight),9,4155,10175,10629,0.4891
1123,283211101,루벤 블랑코,283,HG (Home Grown),9,1751,4231,4420,0.4891
1124,206186153,보이치에흐 슈체스니,206,TB (Tournament Best),10,439,1093,1142,0.4890
1125,206177683,얀 조머,206,TB (Tournament Best),13,13023,31503,32923,0.4890
1126,217177683,얀 조머,217,COC (Competitor Of Continents),13,2022,4681,4893,0.4889
1127,247191924,이범영,247,2012 KH (2012 KH),9,239,612,640,0.4888
1128,295191655,김승규,295,19 KFA (19 KFA),13,1849,4476,4681,0.4888
1129,828215698,마이크 메냥,828,BLD (Best Legends),8,22882,56707,59325,0.4887
1130,206192448,M. 테어슈테겐,206,TB (Tournament Best),12,3706,9297,9730,0.4886
1131,246193105,알퐁스 아레올라,246,UP (Unsung Players),10,550,1369,1433,0.4886
1132,517211738,마르크 플레컨,517,25 PL (25 Premium Live),9,668,1621,1697,0.4885
1133,270193105,알퐁스 아레올라,270,SPL (Spotlight),10,738,1788,1872,0.4885
1134,283230621,잔루이지 돈나룸마,283,HG (Home Grown),9,2635,6349,6649,0.4885
1135,252048940,페트르 체흐,252,CAP (Captain),10,954,2431,2547,0.4883
1136,210230872,밀레 스빌라르,210,GR (Golden Rookies),13,845,1990,2085,0.4883
1137,246190778,예룬 주트,246,UP (Unsung Players),10,237,586,614,0.4883
1138,515192448,M. 테어슈테겐,515,24 PL (24 Premium Live),8,509,1150,1205,0.4883
1139,206192448,M. 테어슈테겐,206,TB (Tournament Best),13,3296,7828,8207,0.4882
1140,252051539,에드윈 반데르사르,252,CAP (Captain),8,1992,4907,5145,0.4882
1141,501212831,알리송,501,18 PLS (18 Premium Live Spring),8,216,532,558,0.4881
1142,517202811,에미 마르티네스,517,25 PL (25 Premium Live),8,6757,17095,17939,0.4880
1143,216192448,M. 테어슈테겐,216,HOT (Heroes Of the Team),9,470,1173,1231,0.4879
1144,252178005,후이 파트리시우,252,CAP (Captain),8,527,1314,1379,0.4879
1145,270193105,알퐁스 아레올라,270,SPL (Spotlight),8,6873,16853,17697,0.4878
1146,231199987,야스퍼르 실러선,231,VTR (Veteran),9,590,1483,1558,0.4877
1147,283002147,M. 스테켈렌뷔르흐,283,HG (Home Grown),8,318,830,872,0.4877
1148,207000488,올리버 칸,207,TT (Top Transfer),11,559,1383,1453,0.4877
1149,270233267,매트 터너,270,SPL (Spotlight),10,1407,3408,3581,0.4876
1150,274192119,티보 쿠르투아,274,RMCF (Real Madrid Ambassador),8,5905,14565,15308,0.4876
1151,834242948,M. 코바르시,834,24 UCL (24 UEFA Champions League),9,339,822,864,0.4875
1152,237212831,알리송,237,MC (Multi-League Champions),11,248,604,635,0.4875
1153,216167948,위고 요리스,216,HOT (Heroes Of the Team),8,2402,5988,6297,0.4874
1154,237212831,알리송,237,MC (Multi-League Champions),10,324,792,833,0.4874
1155,829228279,요엘 드롬멀,829,GRU (Greatest Runner-Ups),8,450,1096,1153,0.4873
1156,283224251,로빈 첸트너,283,HG (Home Grown),8,425,1009,1062,0.4872
1157,214200389,얀 오블라크,214,TC (Tournament Champions),11,967,2341,2464,0.4872
1158,264230621,잔루이지 돈나룸마,264,FA (FREE AGENT),9,6447,15494,16310,0.4872
1159,251002147,M. 스테켈렌뷔르흐,251,EBS (European Best Stars),13,571,1338,1409,0.4871
1160,517192119,티보 쿠르투아,517,25 PL (25 Premium Live),8,5229,12614,13289,0.4870
1161,256048940,페트르 체흐,256,BTB (Back to Back),10,682,1728,1821,0.4869
1162,270221087,파우 로페스,270,SPL (Spotlight),10,891,2167,2285,0.4867
1163,216192448,M. 테어슈테겐,216,HOT (Heroes Of the Team),8,16268,39588,41746,0.4867
1164,508186153,보이치에흐 슈체스니,508,21 PL (21 Premium Live),8,495,1107,1168,0.4866
1165,265225116,알렉스 메레트,265,LOL (LEGEND OF THE LOAN),8,10552,25665,27081,0.4866
1166,251001179,잔루이지 부폰,251,EBS (European Best Stars),11,257,579,611,0.4866
1167,265192119,티보 쿠르투아,265,LOL (LEGEND OF THE LOAN),8,19843,48532,51218,0.4865
1168,293212432,조현우,293,22 KFA (22 KFA),8,9676,22826,24093,0.4865
1169,206200389,얀 오블라크,206,TB (Tournament Best),11,519,1246,1316,0.4863
1170,246186569,스벤 울라이히,246,UP (Unsung Players),10,1190,2872,3034,0.4863
1171,206005479,카시야스,206,TB (Tournament Best),13,1895,4746,5014,0.4863
1172,293234748,구성윤,293,22 KFA (22 KFA),12,406,954,1008,0.4862
1173,810210257,에데르송,810,23 UCL (23 UEFA Champions League),8,669,1600,1691,0.4862
1174,827051539,에드윈 반데르사르,827,BDO (Ballon d'Or),9,2481,6014,6358,0.4861
1175,216199482,안토니 로페스,216,HOT (Heroes Of the Team),10,218,523,553,0.4861
1176,518232065,김동준,518,26KLeague (26KLeague),11,343,764,808,0.4860
1177,246186569,스벤 울라이히,246,UP (Unsung Players),8,3976,9638,10199,0.4859
1178,207204935,조던 픽포드,207,TT (Top Transfer),13,1338,3111,3293,0.4858
1179,253230621,잔루이지 돈나룸마,253,BOE21 (Best of Europe 21),9,1512,3585,3795,0.4858
1180,517225116,알렉스 메레트,517,25 PL (25 Premium Live),11,324,766,811,0.4857
1181,517202811,에미 마르티네스,517,25 PL (25 Premium Live),9,1314,3333,3529,0.4857
1182,251164835,우카시 파비안스키,251,EBS (European Best Stars),10,753,1865,1975,0.4857
1183,517188943,케빈 트라프,517,25 PL (25 Premium Live),11,816,1864,1974,0.4857
1184,828178005,후이 파트리시우,828,BLD (Best Legends),8,581,1457,1543,0.4857
1185,246173373,세르히오 로메로,246,UP (Unsung Players),9,862,2115,2240,0.4856
1186,283186153,보이치에흐 슈체스니,283,HG (Home Grown),8,8108,20099,21291,0.4856
1187,517185122,페테르 굴라치,517,25 PL (25 Premium Live),11,1102,2678,2837,0.4856
1188,256193105,알퐁스 아레올라,256,BTB (Back to Back),8,1910,4616,4891,0.4855
1189,214200389,얀 오블라크,214,TC (Tournament Champions),8,295,698,740,0.4854
1190,294238570,송범근,294,21 KFA (21 KFA),9,1203,3069,3256,0.4852
